Group,Error,APCER,BPCER
Asian,46.666666666666664,50.0,43.75
Black,57.99999999999999,63.63636363636363,53.57142857142857
White,45.21739130434783,42.1875,49.01960784313725
Error Gap,12.782608695652165,,
